Date,RateFactor1
2002-01-03,-0.36964124267832216
2002-02-07,-0.3744943163665636
2002-03-07,0.04911432693981129
2002-04-04,-0.015560605135373733
2002-05-02,-0.2674727396384136
2002-06-06,0.8477247921035224
2002-07-04,0.23625824385422003
2002-08-01,-0.3416699264206551
2002-09-12,0.23734174375565908
2002-10-10,-1.3416435534157312
2002-11-07,-3.67777469576292
2002-12-05,2.568583019670559
2003-01-09,-0.017321096256887727
2003-02-06,-1.034566312339526
2003-03-06,-3.760826808818261
2003-04-03,-0.981701595680415
2003-05-08,-0.35194169675909737
2003-06-05,2.316449361673056
2003-07-10,-0.0010289056276007644
2003-07-31,-0.07703487826041505
2003-09-04,0.07549603522716608
2003-10-02,-0.18733573801406184
2003-11-06,0.27197597967074444
2003-12-04,0.1666072497688484
2004-01-08,-0.19163154087220874
2004-02-05,0.0495827734035918
2004-03-04,-0.8907582123291087
2004-04-01,-1.4128092584502394
2004-05-06,-0.0893729678239806
2004-06-03,0.4479232551546959
2004-07-01,0.18189855599625546
2004-08-05,0.04653078874120822
2004-09-02,-0.23866379742877464
2004-10-07,0.04556766919278794
2004-11-04,0.12040659606592159
2004-12-02,0.5451647489726268
2005-01-13,0.13257061208544865
2005-02-03,0.22386993162359153
2005-03-03,0.1391921012015204
2005-04-07,0.07591935601931414
2005-05-04,0.0626849970692196
2005-06-02,-0.23481461780510485
2005-07-07,0.04967397866884256
2005-08-04,0.04235576359261655
2005-09-01,0.1025191777952429
2005-10-06,0.11762726597826687
2005-11-03,0.3472169973325367
2005-12-01,0.5752365955519451
2006-01-12,0.1676023373213699
2006-02-02,0.5715836755349397
2006-03-02,0.09273640810894304
2006-04-06,0.2744384206171513
2006-05-04,0.9332984894725345
2006-06-08,0.49489227934357416
2006-07-06,0.7475072618250695
2006-08-03,-0.23723137061889915
2006-08-31,0.13775314332269356
2006-10-05,0.16863397326121962
2006-11-02,0.4954023634857147
2006-12-07,-0.046274411724878825
2007-01-11,0.12795197301477135
2007-02-08,0.40366301442297814
2007-03-08,0.10260706795724163
2007-04-12,0.06206840938643781
2007-05-10,-0.018509991109187794
2007-06-06,0.12767293550571188
2007-07-05,0.13651123795100997
2007-08-02,0.20688049766404895
2007-09-06,0.472760911212582
2007-10-04,0.46087292521639206
2007-11-08,0.20839886782334996
2007-12-06,-0.027406523074932812
2008-01-10,0.12107394512893407
2008-02-07,-0.12797934243677112
2008-03-06,0.16408291971151134
2008-04-10,0.050814520661254
2008-05-08,0.19727817932612748
2008-06-05,0.16484080949859647
2008-07-03,0.4591730230934505
2008-08-07,-0.04706395938586705
2008-09-04,0.11085761396725981
2008-10-02,-1.1795121204121228
2008-12-04,-1.4340673218600626
2009-01-15,3.52386168566879
2009-02-05,-0.27541895764360635
2009-03-05,-1.5033910702536892
2009-04-02,-2.0221106071195623
2009-05-07,0.47515971583549493
2009-06-04,-0.40616510681582835
2009-07-02,-0.5354591479325809
2009-08-06,-0.12505825439436263
2009-09-03,0.2171997273308806
2009-10-08,0.053574638887139134
2009-11-05,0.2993311253398013
2009-12-03,0.3961729947597281
2010-01-14,0.21609334049877507
2010-02-04,-0.035818678002588214
2010-03-04,0.10818687957414495
2010-04-08,0.18638671457882838
2010-05-06,0.043997025495213705
2010-06-10,-0.38770141594773416
2010-07-08,-0.17358129730350247
2010-08-05,0.062064694860701604
2010-09-02,0.011345256944696408
2010-10-07,0.0006155773990330001
2010-11-04,0.34635602116742087
2010-12-02,0.1753018605960915
2011-01-13,0.08985580933219518
2011-02-03,0.35489151244491196
2011-03-03,0.14513452035074823
2011-04-07,-0.41911706167853313
2011-05-05,0.4605019829011153
2011-06-09,0.08209535128666012
2011-07-07,-0.1288721879011007
2011-08-04,0.00208218965408003
2011-09-08,-0.8660339570097588
2011-10-06,-5.609024703929877
2011-11-03,6.1033181586151795
2011-12-08,-1.0373077693223092
2012-01-12,0.02927424161358781
2012-02-09,-0.015050073868105522
2012-03-08,-0.03469259769864725
2012-04-04,0.20672357439178018
2012-05-03,-0.11853356927703718
2012-06-06,-0.6914683655527676
2012-07-05,5.068644251084661
2012-08-02,-0.29709872443246277
2012-09-06,-0.25324547820164456
2012-10-04,-0.11181402111481187
2012-11-08,-0.09795777524086452
2012-12-06,-0.04130115541436548
2013-01-10,0.07022666458375032
2013-02-07,0.07319225572034496
2013-03-07,0.1275943644991514
2013-04-04,0.04120677606136365
2013-05-02,0.11362358811564054
2013-06-06,-0.10091389230559916
2013-07-04,0.03746580416460808
2013-08-01,0.07453762575818465
2013-09-05,0.05693701566815226
2013-10-02,0.06230699178365908
2013-11-07,-0.21472258382713927
2013-12-05,-0.08311194887626204
2014-01-09,0.11246159034061796
2014-02-06,-0.15608536473998585
2014-03-06,-0.2971598847055641
2014-04-03,-0.3232338222142817
2014-05-08,-0.8187201493304204
2014-06-05,-0.2559225294822578
2014-07-03,0.10103602881160709
2014-08-07,0.09770246818470393
2014-09-04,1.1948093112355196
2014-10-02,0.11331474801279555
2014-11-06,0.024759447630002995
2014-12-04,0.18386595690134816
2015-01-22,-0.15364336559274358
2015-03-05,0.3184687471102593
2015-04-15,-0.3082804831505751
2015-06-03,0.2877033926538645
2015-07-16,0.11773962362991194
2015-09-03,0.07411282281957383
2015-10-22,0.08038517862345101
2015-12-03,-2.427095816756669
2016-01-21,-0.3052759424515524
2016-03-10,-0.9649447454529364
2016-04-21,0.08095789342803435
2016-06-02,0.09564185133456904
2016-07-21,-0.11183902033932419
2016-09-08,-0.13071441866915096
2016-10-20,0.030764675557897213
2016-12-08,0.050539380704287915
2017-01-19,0.0678381981117087
2017-03-09,0.029349614588854142
2017-04-27,-0.004032400036132398
2017-06-08,0.08190308483827181
2017-07-20,0.1025083241663099
2017-09-07,0.2169650647314011
2017-10-26,0.2804968606756709
2017-12-14,-0.2180100591067436
2018-01-25,0.0723839593903664
2018-03-08,0.0589540413124588
2018-04-26,0.0845749311156856
2018-06-14,-0.08939853707073271
2018-07-26,0.05243359258733103
2018-09-13,0.06165664026308859
